Postcode,lat,long
SG1 1AA,51.89609,-0.20297
SG1 1AB,51.90174,-0.19365
SG1 1AD,51.90082,-0.20345
SG1 1AE,51.89700,-0.20355
SG1 1AF,51.90272,-0.20381
SG1 1AG,51.90597,-0.20864
SG1 1AH,51.90597,-0.20864
SG1 1AJ,51.90082,-0.20345
SG1 1AL,51.90597,-0.20864
SG1 1AN,51.90109,-0.19331
SG1 1AP,51.90340,-0.20443
SG1 1AR,51.89999,-0.19913
SG1 1AS,51.90321,-0.20395
SG1 1AT,51.89783,-0.20391
SG1 1AU,51.89773,-0.20433
SG1 1AW,51.89783,-0.20391
SG1 1AX,51.90340,-0.20443
SG1 1AY,51.90285,-0.20026
SG1 1AZ,51.90285,-0.20026
SG1 1BA,51.90279,-0.20195
SG1 1BB,51.90109,-0.20210
SG1 1BD,51.90080,-0.20200
SG1 1BE,51.90092,-0.20170
SG1 1BF,51.90255,-0.20016
SG1 1BG,51.90224,-0.20277
SG1 1BH,51.90255,-0.20016
SG1 1BJ,51.90172,-0.20342
SG1 1BL,51.90410,-0.19323
SG1 1BN,51.90352,-0.20335
SG1 1BP,51.90193,-0.20235
SG1 1BQ,51.90258,-0.20048
SG1 1BS,51.90075,-0.20126
SG1 1BT,51.90080,-0.20200
SG1 1BU,51.90032,-0.20110
SG1 1BW,51.90172,-0.20342
SG1 1BX,51.90348,-0.20098
SG1 1BY,51.90127,-0.20319
SG1 1BZ,51.89990,-0.20204
SG1 1DA,51.90065,-0.20080
SG1 1DB,51.90112,-0.19991
SG1 1DD,51.90124,-0.20083
SG1 1DE,51.90080,-0.20200
SG1 1DF,51.90078,-0.20055
SG1 1DG,51.90127,-0.20056
SG1 1DH,51.90133,-0.20013
SG1 1DJ,51.90348,-0.20098
SG1 1DL,51.90188,-0.20079
SG1 1DN,51.90194,-0.20129
SG1 1DP,51.90250,-0.20096
SG1 1DQ,51.89611,-0.20283
SG1 1DR,51.90260,-0.20193
SG1 1DS,51.90336,-0.20155
SG1 1DT,51.90080,-0.20200
SG1 1DU,51.90273,-0.20085
SG1 1DW,51.90352,-0.20156
SG1 1DX,51.90078,-0.20055
SG1 1DY,51.90260,-0.20193
SG1 1DZ,51.90296,-0.20097
SG1 1EA,51.90352,-0.20169
SG1 1EB,51.90324,-0.20123
SG1 1ED,51.90080,-0.20200
SG1 1EE,51.90238,-0.20186
SG1 1EF,51.90409,-0.20257
SG1 1EG,51.90337,-0.20212
SG1 1EH,51.90375,-0.20248
SG1 1EJ,51.90356,-0.20359
SG1 1EL,51.90369,-0.20232
SG1 1EN,51.90101,-0.20002
SG1 1EP,51.90137,-0.19987
SG1 1EQ,51.90250,-0.20032
SG1 1ER,51.90047,-0.20116
SG1 1ES,51.90415,-0.20262
SG1 1ET,51.90440,-0.20186
SG1 1EU,51.90425,-0.20048
SG1 1EW,51.90051,-0.20073
SG1 1EX,51.90350,-0.20189
SG1 1EY,51.90350,-0.20189
SG1 1EZ,51.90409,-0.20063
SG1 1FB,51.90109,-0.19331
SG1 1FD,51.89611,-0.20283
SG1 1FE,51.89611,-0.20283
SG1 1FF,51.90108,-0.19333
SG1 1FG,51.89611,-0.20283
SG1 1FH,51.89611,-0.20283
SG1 1FJ,51.90108,-0.19333
SG1 1FL,51.89611,-0.20283
SG1 1FN,51.90404,-0.20141
SG1 1FP,51.89611,-0.20283
SG1 1FQ,51.90108,-0.19333
SG1 1FR,51.90356,-0.20042
SG1 1FS,51.90109,-0.19331
SG1 1FT,51.89609,-0.20297
SG1 1FW,51.90109,-0.19331
SG1 1FY,51.89609,-0.20297
SG1 1FZ,51.90556,-0.20469
SG1 1GB,51.89611,-0.20283
