Postcode,lat,long
CR0 0AA,51.34034,-0.00506
CR0 0AB,51.33759,-0.00210
CR0 0AD,51.33532,-0.00133
CR0 0AE,51.34071,-0.00452
CR0 0AF,51.33831,-0.00127
CR0 0AG,51.33659,-0.00050
CR0 0AH,51.33455,-0.00245
CR0 0AJ,51.33461,-0.00005
CR0 0AL,51.33402,-0.00516
CR0 0AN,51.33430,-0.00914
CR0 0AP,51.33473,-0.01152
CR0 0AQ,51.33490,-0.00778
CR0 0AR,51.33431,-0.00637
CR0 0AS,51.34002,-0.00239
CR0 0AT,51.34120,-0.00187
CR0 0AU,51.33478,-0.00596
CR0 0AW,51.33460,-0.00891
CR0 0AX,51.34003,-0.00280
CR0 0AY,51.34103,-0.00280
CR0 0AZ,51.33979,-0.00168
CR0 0BA,51.33880,-0.01024
CR0 0BB,51.33835,-0.00923
CR0 0BD,51.33713,-0.01503
CR0 0BE,51.33724,-0.00753
CR0 0BF,51.33601,-0.00514
CR0 0BG,51.33559,-0.00232
CR0 0BH,51.33587,-0.00304
CR0 0BJ,51.33536,-0.00420
CR0 0BL,51.33673,-0.00485
CR0 0BN,51.33705,-0.00441
CR0 0BP,51.33791,-0.00721
CR0 0BQ,51.33767,-0.00368
CR0 0BR,51.33608,-0.00266
CR0 0BS,51.33823,-0.00743
CR0 0BT,51.33741,-0.00693
CR0 0BU,51.33825,-0.00411
CR0 0BW,51.33677,-0.00230
CR0 0BX,51.33520,-0.00264
CR0 0BY,51.33453,-0.00465
CR0 0BZ,51.33761,-0.01208
CR0 0DA,51.34128,-0.01768
CR0 0DB,51.33990,-0.01531
CR0 0DD,51.34205,-0.01799
CR0 0DE,51.34214,-0.01735
CR0 0DF,51.34184,-0.01717
CR0 0DG,51.33978,-0.01385
CR0 0DH,51.34043,-0.01497
CR0 0DJ,51.33952,-0.01417
CR0 0DL,51.33855,-0.01373
CR0 0DN,51.33763,-0.01165
CR0 0DP,51.33596,-0.00878
CR0 0DQ,51.33624,-0.01019
CR0 0DR,51.33597,-0.01043
CR0 0DS,51.33564,-0.01086
CR0 0DT,51.33574,-0.01190
CR0 0DU,51.33836,-0.01453
CR0 0DW,51.33746,-0.01315
CR0 0DX,51.34046,-0.01691
CR0 0DY,51.33661,-0.01296
CR0 0DZ,51.33794,-0.01455
CR0 0EA,51.33921,-0.00989
