Postcode,lat,long
RH1 1AA,51.24056,-0.16465
RH1 1AB,51.23941,-0.16957
RH1 1AD,51.24250,-0.16235
RH1 1AE,51.24207,-0.16206
RH1 1AF,51.24456,-0.15984
RH1 1AG,51.24415,-0.16030
RH1 1AH,51.24394,-0.15980
RH1 1AJ,51.24350,-0.15936
RH1 1AL,51.24374,-0.15775
RH1 1AN,51.24175,-0.16231
RH1 1AP,51.24215,-0.16334
RH1 1AQ,51.24193,-0.16349
RH1 1AR,51.24277,-0.16286
RH1 1AS,51.24306,-0.16233
RH1 1AT,51.24248,-0.16327
RH1 1AU,51.24525,-0.16146
RH1 1AW,51.24056,-0.16465
RH1 1AX,51.24778,-0.15721
RH1 1AY,51.24255,-0.17073
RH1 1AZ,51.24165,-0.17819
RH1 1BA,51.24046,-0.17519
RH1 1BB,51.23981,-0.17785
RH1 1BD,51.23959,-0.17754
RH1 1BE,51.23993,-0.18187
RH1 1BF,51.23955,-0.18206
RH1 1BG,51.24098,-0.18138
RH1 1BH,51.24257,-0.17036
RH1 1BJ,51.24239,-0.16905
RH1 1BL,51.23965,-0.17718
RH1 1BN,51.24188,-0.17209
RH1 1BP,51.24250,-0.16989
RH1 1BQ,51.24110,-0.16840
RH1 1BS,51.24295,-0.16977
RH1 1BT,51.24338,-0.17192
RH1 1BU,51.24206,-0.17102
RH1 1BW,51.24228,-0.16953
RH1 1BX,51.24206,-0.17102
RH1 1BY,51.24186,-0.17110
RH1 1BZ,51.24198,-0.17149
RH1 1DA,51.24174,-0.17190
RH1 1DB,51.24155,-0.17186
RH1 1DD,51.24157,-0.17112
RH1 1DE,51.24133,-0.17176
RH1 1DF,51.24137,-0.17137
RH1 1DG,51.24125,-0.17076
RH1 1DH,51.24180,-0.17092
RH1 1DJ,51.24134,-0.17260
RH1 1DL,51.24061,-0.17310
RH1 1DN,51.24091,-0.17348
RH1 1DP,51.24110,-0.17787
RH1 1DQ,51.24158,-0.17086
RH1 1DR,51.24142,-0.17619
RH1 1DS,51.24188,-0.17801
RH1 1DT,51.24116,-0.17514
RH1 1DU,51.24056,-0.17659
RH1 1DW,51.24037,-0.17598
RH1 1DX,51.24148,-0.17453
RH1 1DY,51.24357,-0.17277
RH1 1DZ,51.24223,-0.17449
RH1 1EA,51.24237,-0.17508
RH1 1EB,51.24041,-0.17570
RH1 1ED,51.24203,-0.17401
RH1 1EE,51.24246,-0.17072
RH1 1EF,51.24324,-0.17286
RH1 1EG,51.24282,-0.17309
RH1 1EH,51.24239,-0.17206
RH1 1EJ,51.24204,-0.17260
RH1 1EL,51.24204,-0.17310
RH1 1EN,51.24239,-0.17290
RH1 1EP,51.24237,-0.17396
RH1 1EQ,51.24259,-0.17251
RH1 1ER,51.24132,-0.17382
RH1 1ES,51.24148,-0.17565
RH1 1ET,51.24020,-0.17333
RH1 1EU,51.23914,-0.16711
RH1 1EW,51.24251,-0.17330
RH1 1EX,51.24027,-0.17373
RH1 1EY,51.24062,-0.17168
RH1 1EZ,51.24303,-0.17398
RH1 1FA,51.24056,-0.16465
RH1 1FB,51.24152,-0.16974
RH1 1FD,51.24276,-0.16883
RH1 1FE,51.24108,-0.16659
RH1 1FF,51.24056,-0.16465
RH1 1FG,51.23956,-0.16683
RH1 1FH,51.24276,-0.16883
RH1 1FJ,51.24056,-0.16465
RH1 1FL,51.24056,-0.16465
RH1 1FN,51.24108,-0.16659
RH1 1FP,51.24056,-0.16465
RH1 1FQ,51.24216,-0.17056
RH1 1FR,51.24056,-0.16465
RH1 1FS,51.24056,-0.16465
RH1 1FT,51.24056,-0.16465
RH1 1FU,51.24172,-0.16835
RH1 1FW,51.24056,-0.16465
RH1 1FX,51.24056,-0.16465
RH1 1FY,51.24056,-0.16465
RH1 1FZ,51.24056,-0.16465
RH1 1GA,51.24056,-0.16465
RH1 1GB,51.24056,-0.16465
RH1 1GD,51.24056,-0.16465
RH1 1GE,51.24222,-0.16900
RH1 1GF,51.24056,-0.16465
RH1 1GG,51.24056,-0.16465
RH1 1GH,51.24056,-0.16465
RH1 1GJ,51.24207,-0.16810
RH1 1GL,51.24056,-0.16465
RH1 1GN,51.24222,-0.16900
RH1 1GP,51.24056,-0.16465
RH1 1GQ,51.24172,-0.16835
RH1 1GR,51.24114,-0.16910
RH1 1GS,51.24056,-0.16465
RH1 1GT,51.24114,-0.16910
RH1 1GU,51.24056,-0.16465
RH1 1GW,51.24056,-0.16465
RH1 1GX,51.24056,-0.16465
RH1 1GY,51.24056,-0.16465
RH1 1GZ,51.24172,-0.16835
RH1 1HA,51.24018,-0.17448
RH1 1HB,51.24009,-0.17511
RH1 1HD,51.24384,-0.17224
RH1 1HE,51.23996,-0.17561
RH1 1HF,51.23996,-0.17598
RH1 1HG,51.23658,-0.16812
RH1 1HH,51.23801,-0.17018
RH1 1HJ,51.23858,-0.17050
RH1 1HL,51.23845,-0.17163
RH1 1HN,51.23869,-0.17094
RH1 1HP,51.23878,-0.17008
RH1 1HQ,51.23956,-0.17668
RH1 1HR,51.23863,-0.16967
RH1 1HS,51.23902,-0.17039
RH1 1HT,51.23888,-0.17165
RH1 1HU,51.23918,-0.17322
RH1 1HW,51.23894,-0.17060
RH1 1HX,51.23945,-0.17325
RH1 1HY,51.23939,-0.17395
RH1 1HZ,51.23953,-0.17432
RH1 1JA,51.23919,-0.17446
RH1 1JB,51.23916,-0.17425
RH1 1JD,51.24610,-0.16717
RH1 1JE,51.24007,-0.17534
RH1 1JF,51.24534,-0.16899
RH1 1JG,51.24431,-0.17158
RH1 1JH,51.24357,-0.17389
RH1 1JJ,51.24369,-0.17477
RH1 1JL,51.24493,-0.17154
RH1 1JN,51.24556,-0.17096
RH1 1JP,51.24384,-0.17224
RH1 1JQ,51.24206,-0.16598
RH1 1JR,51.24530,-0.16518
RH1 1JS,51.24486,-0.16504
RH1 1JT,51.24474,-0.16406
RH1 1JU,51.24244,-0.16558
RH1 1JW,51.24627,-0.16837
RH1 1JX,51.24526,-0.16308
RH1 1JY,51.24232,-0.16505
RH1 1JZ,51.24210,-0.16478
RH1 1LA,51.23828,-0.16996
RH1 1LB,51.24404,-0.16371
RH1 1LD,51.24385,-0.16376
RH1 1LE,51.24420,-0.16358
RH1 1LF,51.24559,-0.16319
RH1 1LG,51.24595,-0.16624
RH1 1LH,51.24540,-0.16751
RH1 1LJ,51.24595,-0.16624
RH1 1LL,51.24620,-0.16321
RH1 1LN,51.24494,-0.16666
RH1 1LP,51.24482,-0.16746
RH1 1LQ,51.24467,-0.16751
RH1 1LR,51.24482,-0.16746
RH1 1LS,51.24063,-0.17131
RH1 1LT,51.24502,-0.16853
RH1 1LU,51.24286,-0.16787
RH1 1LW,51.24482,-0.16746
RH1 1LX,51.24056,-0.16465
RH1 1LY,51.24100,-0.16829
RH1 1LZ,51.24204,-0.16709
RH1 1NA,51.24341,-0.16808
RH1 1NB,51.24078,-0.16853
RH1 1ND,51.24061,-0.16842
RH1 1NE,51.24024,-0.16913
RH1 1NF,51.24019,-0.16800
RH1 1NG,51.24080,-0.16971
RH1 1NH,51.24122,-0.16974
RH1 1NJ,51.24234,-0.16801
RH1 1NL,51.24105,-0.16652
RH1 1NN,51.24106,-0.16771
RH1 1NP,51.24204,-0.16709
RH1 1NQ,51.24243,-0.17130
RH1 1NR,51.24232,-0.16801
RH1 1NS,51.24055,-0.16747
RH1 1NT,51.24043,-0.16734
RH1 1NU,51.24006,-0.16755
RH1 1NW,51.24105,-0.16652
RH1 1NX,51.24425,-0.16432
RH1 1NY,51.23873,-0.16839
RH1 1NZ,51.24001,-0.16722
RH1 1PA,51.24004,-0.16737
RH1 1PB,51.24033,-0.16940
RH1 1PD,51.24017,-0.16768
RH1 1PE,51.24033,-0.16940
RH1 1PF,51.24019,-0.17418
RH1 1PG,51.24022,-0.16987
RH1 1PH,51.24030,-0.16907
RH1 1PJ,51.23930,-0.16631
RH1 1PL,51.24021,-0.17004
RH1 1PN,51.24021,-0.17018
RH1 1PP,51.24771,-0.15974
RH1 1PQ,51.24019,-0.17098
RH1 1PR,51.24033,-0.17157
RH1 1PS,51.23941,-0.17347
RH1 1PT,51.24060,-0.16279
RH1 1PU,51.24490,-0.16335
RH1 1PW,51.24026,-0.17057
RH1 1PX,51.24033,-0.17157
RH1 1PY,51.24056,-0.16465
RH1 1PZ,51.24014,-0.16730
RH1 1QA,51.24105,-0.16652
RH1 1QB,51.24081,-0.17052
RH1 1QD,51.23840,-0.16912
RH1 1QE,51.24118,-0.17546
RH1 1QF,51.24206,-0.16842
RH1 1QG,51.24204,-0.16709
RH1 1QH,51.24057,-0.16924
RH1 1QJ,51.24202,-0.16813
RH1 1QL,51.24081,-0.17052
RH1 1QN,51.24057,-0.16924
RH1 1QP,51.24024,-0.16913
