Postcode,lat,long
ZE1 0XB,60.13768,-1.28231
ZE1 0XD,60.13747,-1.28392
ZE1 0XE,60.15322,-1.14159
ZE1 0XF,60.15062,-1.14290
ZE1 0XG,60.13668,-1.28444
ZE1 0XH,60.13804,-1.28006
ZE1 0XJ,60.13754,-1.28045
ZE1 0XL,60.12289,-1.28705
ZE1 0XN,60.15064,-1.29267
ZE1 0XP,60.15239,-1.13907
ZE1 0XQ,60.13850,-1.28064
ZE1 0XR,60.15322,-1.14159
ZE1 0XS,60.15322,-1.14159
ZE1 0XT,60.13661,-1.27468
ZE1 0XU,60.15623,-1.14597
ZE1 0XW,60.15062,-1.14290
ZE1 0XX,60.13732,-1.27683
ZE1 0XY,60.17387,-1.15763
ZE1 0XZ,60.16918,-1.16448
ZE1 0YA,60.15072,-1.13933
ZE1 0YB,60.14826,-1.13558
ZE1 0YD,60.14826,-1.13558
ZE1 0YE,60.15322,-1.14159
ZE1 0YF,60.15011,-1.17240
ZE1 0YG,60.15011,-1.17240
ZE1 0YH,60.15011,-1.17240
ZE1 0YJ,60.15322,-1.14159
ZE1 0YL,60.15322,-1.14159
ZE1 0YN,60.14565,-1.16644
ZE1 0YP,60.15369,-1.14433
ZE1 0YQ,60.15322,-1.14159
ZE1 0YR,60.15322,-1.14159
ZE1 0YS,60.15322,-1.14159
ZE1 0YT,60.15072,-1.13933
ZE1 0YU,60.15072,-1.13933
ZE1 0YW,60.15011,-1.17240
ZE1 0YX,60.15072,-1.13933
ZE1 0ZB,60.15322,-1.14159
ZE1 0ZD,60.15322,-1.14159
ZE1 0ZE,60.15322,-1.14159
ZE1 0ZF,60.15322,-1.14159
ZE1 0ZG,60.15011,-1.17240
ZE1 0ZH,60.15322,-1.14159
ZE1 0ZJ,60.14703,-1.15960
ZE1 0ZQ,60.15010,-1.17240
ZE1 9AA,60.15322,-1.14159
ZE1 9AB,60.15322,-1.14159
ZE1 9BA,60.15322,-1.14159
ZE1 9BB,60.15322,-1.14159
ZE1 9SA,60.15443,-1.14622
ZE1 9SB,60.15443,-1.14622
ZE1 9SD,60.15443,-1.14622
ZE1 9SE,60.15443,-1.14622
ZE1 9SF,60.15443,-1.14622
ZE1 9SG,60.15443,-1.14622
ZE1 9SH,60.15443,-1.14622
ZE1 9SJ,60.15443,-1.14622
ZE1 9SL,60.15443,-1.14622
ZE1 9SN,60.15443,-1.14622
ZE1 9SP,60.15443,-1.14622
ZE1 9SQ,60.15443,-1.14622
ZE1 9SR,60.15443,-1.14622
ZE1 9SS,60.15443,-1.14622
ZE1 9ST,60.15443,-1.14622
ZE1 9SU,60.15443,-1.14622
ZE1 9SW,60.15443,-1.14622
ZE1 9SX,60.15443,-1.14622
ZE1 9SY,60.15443,-1.14622
ZE1 9SZ,60.15443,-1.14622
ZE1 9TA,60.15443,-1.14622
ZE1 9TB,60.15443,-1.14622
ZE1 9ZZ,60.15322,-1.14159
ZE2 9AA,60.34001,-1.02246
ZE2 9AB,60.34125,-1.01881
ZE2 9AD,60.34468,-1.01920
ZE2 9AE,60.35185,-1.01654
ZE2 9AF,60.34975,-1.01770
ZE2 9AG,60.33450,-1.01701
ZE2 9AH,60.34163,-0.98592
ZE2 9AJ,60.35735,-0.95366
ZE2 9AL,60.36437,-0.99462
ZE2 9AN,60.37210,-0.96982
ZE2 9AP,60.36085,-0.99970
ZE2 9AQ,60.34154,-1.00962
ZE2 9AR,60.42364,-0.75141
ZE2 9AS,60.423,-0.76349
ZE2 9AT,60.42195,-0.75920
ZE2 9AU,60.53558,-1.05048
ZE2 9AW,60.37638,-0.93195
