Postcode,lat,long
PE1 1AA,52.57538,-0.25002
PE1 1AB,52.57265,-0.24559
PE1 1AD,52.57407,-0.24838
PE1 1AE,52.57538,-0.25002
PE1 1AF,52.57407,-0.24838
PE1 1AG,52.61350,-0.28655
PE1 1AH,52.59221,-0.25947
PE1 1AJ,52.57187,-0.24659
PE1 1AL,52.59035,-0.25511
PE1 1AN,52.59035,-0.25511
PE1 1AP,52.59068,-0.25904
PE1 1AQ,52.59131,-0.25950
PE1 1AR,52.57198,-0.24522
PE1 1AS,52.57222,-0.24462
PE1 1AT,52.57222,-0.24462
PE1 1AU,52.57302,-0.24174
PE1 1AW,52.59221,-0.25947
PE1 1AX,52.57302,-0.24174
PE1 1AY,52.57584,-0.24086
PE1 1AZ,52.61350,-0.28655
PE1 1BA,52.57118,-0.24486
PE1 1BB,52.57133,-0.24554
PE1 1BD,52.56769,-0.24273
PE1 1BE,52.57302,-0.24174
PE1 1BF,52.57147,-0.24199
PE1 1BG,52.61350,-0.28655
PE1 1BH,52.57755,-0.24086
PE1 1BJ,52.57302,-0.24174
PE1 1BL,52.61350,-0.28655
PE1 1BN,52.57302,-0.24174
PE1 1BP,52.61350,-0.28655
PE1 1BQ,52.57302,-0.24174
PE1 1BT,52.57488,-0.24244
PE1 1BX,52.57133,-0.24554
PE1 1BY,52.57164,-0.24524
PE1 1BZ,52.57308,-0.24252
PE1 1DA,52.57147,-0.24538
PE1 1DB,52.57039,-0.24262
PE1 1DD,52.57047,-0.24575
PE1 1DE,52.57654,-0.24142
PE1 1DF,52.57043,-0.24557
PE1 1DG,52.57043,-0.24557
PE1 1DH,52.57133,-0.24347
PE1 1DJ,52.57229,-0.24385
PE1 1DL,52.61676,-0.29025
PE1 1DN,52.57164,-0.24524
PE1 1DP,52.57144,-0.24260
PE1 1DQ,52.57143,-0.24373
PE1 1DR,52.57128,-0.24259
PE1 1DS,52.57140,-0.24379
PE1 1DT,52.57092,-0.24272
PE1 1DU,52.57076,-0.24301
PE1 1DW,52.57188,-0.24248
PE1 1DX,52.57051,-0.24308
PE1 1DY,52.56941,-0.24218
PE1 1DZ,52.56949,-0.24266
PE1 1EB,52.56947,-0.24118
PE1 1ED,52.56982,-0.24152
PE1 1EE,52.56854,-0.23975
PE1 1EF,52.56867,-0.23852
PE1 1EG,52.56856,-0.24128
PE1 1EH,52.56928,-0.24162
PE1 1EJ,52.56990,-0.23990
PE1 1EL,52.56965,-0.24279
PE1 1EN,52.56892,-0.24141
PE1 1EP,52.56888,-0.24200
PE1 1EQ,52.56886,-0.24115
PE1 1ER,52.56855,-0.24289
PE1 1ES,52.56844,-0.24429
PE1 1ET,52.56902,-0.24409
PE1 1EU,52.57584,-0.24086
PE1 1EW,52.56861,-0.24417
PE1 1EX,52.56977,-0.24151
PE1 1EY,52.61350,-0.28655
PE1 1EZ,52.61350,-0.28655
PE1 1FA,52.57147,-0.24199
PE1 1FB,52.57584,-0.24086
PE1 1FD,52.57584,-0.24086
PE1 1FE,52.57584,-0.24086
