Postcode,lat,long
SL0 0AA,51.52171,-0.50775
SL0 0AB,51.52112,-0.50818
SL0 0AD,51.52109,-0.50811
SL0 0AE,51.52116,-0.50866
SL0 0AF,51.53128,-0.52344
SL0 0AG,51.52173,-0.50831
SL0 0AH,51.52195,-0.51065
SL0 0AJ,51.52165,-0.50984
SL0 0AL,51.52252,-0.51220
SL0 0AN,51.52240,-0.50968
SL0 0AP,51.52279,-0.50913
SL0 0AQ,51.53919,-0.52175
SL0 0AR,51.53653,-0.52239
SL0 0AS,51.52601,-0.50882
SL0 0AT,51.52722,-0.50784
SL0 0AU,51.52568,-0.51105
SL0 0AW,51.52359,-0.50814
SL0 0AX,51.52515,-0.51083
SL0 0AY,51.52717,-0.51631
SL0 0AZ,51.53100,-0.51413
SL0 0BA,51.53104,-0.51387
SL0 0BB,51.53479,-0.51438
SL0 0BD,51.52598,-0.51430
SL0 0BE,51.53050,-0.51560
SL0 0BG,51.53855,-0.51683
SL0 0BH,51.54013,-0.51717
SL0 0BJ,51.54237,-0.51703
SL0 0BL,51.54291,-0.51841
SL0 0BN,51.54130,-0.51915
SL0 0BP,51.54018,-0.51823
SL0 0BQ,51.53863,-0.51566
SL0 0BS,51.53589,-0.51559
SL0 0BT,51.54059,-0.51872
SL0 0BU,51.54192,-0.51760
SL0 0BW,51.53968,-0.52014
SL0 0BX,51.53879,-0.51838
SL0 0BY,51.53848,-0.51784
SL0 0BZ,51.53881,-0.51898
SL0 0DA,51.53775,-0.52001
SL0 0DB,51.53833,-0.51998
SL0 0DD,51.53683,-0.52352
SL0 0DE,51.53644,-0.51057
SL0 0DF,51.50767,-0.50466
SL0 0DG,51.53777,-0.51682
SL0 0DH,51.53732,-0.51651
SL0 0DJ,51.53715,-0.51795
SL0 0DL,51.53763,-0.51814
SL0 0DN,51.53653,-0.52237
SL0 0DP,51.53719,-0.51964
SL0 0DQ,51.53004,-0.52100
SL0 0DR,51.53547,-0.52734
SL0 0DS,51.53598,-0.52243
SL0 0DT,51.53657,-0.51933
SL0 0DU,51.53531,-0.51807
SL0 0DW,51.53692,-0.51969
SL0 0DX,51.53538,-0.51980
SL0 0DY,51.53671,-0.51670
SL0 0DZ,51.53634,-0.51106
SL0 0EA,51.53817,-0.50738
SL0 0EB,51.54046,-0.49884
SL0 0ED,51.54213,-0.49758
SL0 0EE,51.54273,-0.49444
SL0 0EF,51.53733,-0.51926
SL0 0EG,51.53575,-0.51917
SL0 0EH,51.50767,-0.50466
SL0 0EJ,51.53477,-0.52071
SL0 0EL,51.52932,-0.51656
SL0 0EN,51.52933,-0.51617
SL0 0EP,51.52968,-0.51694
SL0 0EQ,51.53595,-0.51941
SL0 0ER,51.53341,-0.52227
SL0 0ES,51.53233,-0.52232
SL0 0ET,51.53111,-0.52161
SL0 0EU,51.53595,-0.52098
SL0 0EW,51.52965,-0.51913
SL0 0EX,51.53451,-0.52053
SL0 0EY,51.53599,-0.52160
SL0 0EZ,51.53470,-0.52136
SL0 0FA,51.53226,-0.52086
SL0 0HA,51.53470,-0.52265
SL0 0HB,51.53531,-0.52199
SL0 0HD,51.53543,-0.52294
SL0 0HE,51.53535,-0.52438
SL0 0HF,51.53517,-0.52351
SL0 0HG,51.53451,-0.52319
SL0 0HH,51.53293,-0.52414
SL0 0HJ,51.53259,-0.52378
SL0 0HL,51.53309,-0.52347
SL0 0HN,51.53230,-0.52285
SL0 0HP,51.53174,-0.52343
SL0 0HQ,51.53337,-0.52283
SL0 0HR,51.53026,-0.52197
SL0 0HS,51.52806,-0.52109
SL0 0HT,51.52661,-0.51992
SL0 0HU,51.52647,-0.51922
