Postcode,lat,long
BN1 1AA,50.82633,-0.14081
BN1 1AB,50.82295,-0.14179
BN1 1AD,50.82169,-0.14216
BN1 1AE,50.82138,-0.14175
BN1 1AF,50.82247,-0.14142
BN1 1AG,50.82292,-0.14287
BN1 1AH,50.82273,-0.14286
BN1 1AJ,50.82145,-0.14256
BN1 1AL,50.82136,-0.14296
BN1 1AN,50.82208,-0.14350
BN1 1AP,50.82080,-0.14370
BN1 1AR,50.82307,-0.14326
BN1 1AS,50.82257,-0.14437
BN1 1AT,50.82763,-0.14107
BN1 1AU,50.82393,-0.13774
BN1 1AW,50.82633,-0.14081
BN1 1AX,50.82810,-0.14067
BN1 1AY,50.82117,-0.14189
BN1 1AZ,50.82096,-0.14231
BN1 1BA,50.82255,-0.14159
BN1 1BB,50.82077,-0.14444
BN1 1BD,50.82277,-0.14064
BN1 1BE,50.82100,-0.14306
BN1 1BF,50.82077,-0.14444
BN1 1BG,50.82231,-0.14210
BN1 1BH,50.82753,-0.14149
BN1 1BJ,50.82277,-0.14066
BN1 1BL,50.82340,-0.14008
BN1 1BN,50.82283,-0.13959
BN1 1BP,50.82123,-0.13822
BN1 1BQ,50.82165,-0.14299
BN1 1BR,50.82498,-0.14209
BN1 1BS,50.82299,-0.14264
BN1 1BT,50.82277,-0.14066
BN1 1BU,50.82633,-0.14081
BN1 1BW,50.82255,-0.14295
BN1 1BX,50.82255,-0.14295
BN1 1BY,50.82255,-0.14295
BN1 1BZ,50.82255,-0.14295
BN1 1DA,50.82633,-0.14081
BN1 1DB,50.82779,-0.14607
BN1 1DD,50.82255,-0.14295
BN1 1DE,50.82163,-0.14157
BN1 1DF,50.82277,-0.14064
BN1 1DG,50.82633,-0.14081
BN1 1DH,50.82277,-0.14064
BN1 1DJ,50.82633,-0.14081
BN1 1DL,50.82274,-0.14056
BN1 1DN,50.82272,-0.14094
BN1 1DP,50.82186,-0.13832
BN1 1DQ,50.82704,-0.14277
BN1 1DR,50.82277,-0.14066
BN1 1DS,50.82250,-0.14011
BN1 1DT,50.82068,-0.13877
BN1 1DU,50.82274,-0.14056
BN1 1DW,50.82265,-0.13964
BN1 1DX,50.82151,-0.13775
BN1 1DY,50.82068,-0.13877
BN1 1DZ,50.82144,-0.13851
BN1 1EA,50.82263,-0.13946
BN1 1EB,50.82244,-0.14006
BN1 1ED,50.82272,-0.13927
BN1 1EE,50.82199,-0.13823
BN1 1EF,50.82165,-0.13779
BN1 1EG,50.82136,-0.13816
BN1 1EH,50.82161,-0.13754
BN1 1EJ,50.82151,-0.13621
BN1 1EL,50.82050,-0.13633
BN1 1EN,50.82099,-0.13643
BN1 1EP,50.82066,-0.13735
BN1 1EQ,50.82068,-0.13877
BN1 1ER,50.82633,-0.14081
BN1 1ES,50.82186,-0.13832
BN1 1ET,50.82250,-0.14011
BN1 1EU,50.82633,-0.14081
BN1 1EW,50.82274,-0.14056
BN1 1EX,50.82134,-0.13633
BN1 1EY,50.82363,-0.13971
BN1 1EZ,50.82285,-0.14003
BN1 1FA,50.82633,-0.14081
BN1 1FB,50.82274,-0.14046
BN1 1FD,50.82253,-0.14153
BN1 1FE,50.82633,-0.14081
BN1 1FF,50.82250,-0.14011
BN1 1FG,50.82274,-0.14056
BN1 1FH,50.82277,-0.14064
BN1 1FJ,50.82157,-0.13619
BN1 1FL,50.82021,-0.13639
BN1 1FN,50.82235,-0.13769
BN1 1FP,50.81929,-0.13723
BN1 1FQ,50.82253,-0.14153
BN1 1FR,50.82633,-0.14081
BN1 1FS,50.82026,-0.13999
BN1 1FT,50.82111,-0.13832
BN1 1FU,50.82176,-0.13826
BN1 1FW,50.81916,-0.13880
BN1 1FX,50.82140,-0.13845
BN1 1FY,50.82156,-0.13731
BN1 1FZ,50.82196,-0.13616
BN1 1GA,50.82389,-0.14155
BN1 1GB,50.82156,-0.13731
BN1 1GD,50.82066,-0.13735
BN1 1GE,50.82498,-0.13881
BN1 1GF,50.82028,-0.13644
BN1 1GG,50.82250,-0.14011
BN1 1GH,50.82243,-0.13908
BN1 1GJ,50.82633,-0.14081
BN1 1GL,50.82218,-0.13881
BN1 1GN,50.82633,-0.14081
BN1 1GP,50.82158,-0.13873
BN1 1GQ,50.82144,-0.14342
BN1 1GR,50.82633,-0.14081
BN1 1GS,50.82217,-0.14009
BN1 1GT,50.82255,-0.14085
BN1 1GX,50.82430,-0.13850
BN1 1GY,50.82100,-0.13759
BN1 1HA,50.82218,-0.14128
BN1 1HB,50.82211,-0.14077
BN1 1HD,50.82212,-0.14033
BN1 1HE,50.82136,-0.14124
BN1 1HF,50.82127,-0.14084
BN1 1HG,50.82099,-0.13968
BN1 1HH,50.82146,-0.13976
BN1 1HJ,50.82168,-0.13983
BN1 1HL,50.82146,-0.13926
BN1 1HN,50.82113,-0.13889
BN1 1HP,50.82028,-0.13938
BN1 1HQ,50.82039,-0.13909
BN1 1HR,50.82103,-0.13970
BN1 1HS,50.82633,-0.14081
BN1 1HT,50.82020,-0.13964
BN1 1HU,50.82078,-0.13882
BN1 1HW,50.82145,-0.14061
BN1 1HX,50.82277,-0.14064
BN1 1HY,50.82168,-0.14110
BN1 1HZ,50.82277,-0.14066
BN1 1JA,50.82083,-0.14002
BN1 1JB,50.82633,-0.14081
BN1 1JD,50.82633,-0.14081
BN1 1JE,50.82085,-0.14097
BN1 1JF,50.82071,-0.14019
BN1 1JG,50.82130,-0.14267
BN1 1JH,50.82073,-0.14160
BN1 1JJ,50.82153,-0.14140
BN1 1JL,50.82375,-0.14048
BN1 1JN,50.82085,-0.14097
BN1 1JP,50.82633,-0.14081
BN1 1JQ,50.82099,-0.13971
BN1 1JR,50.82633,-0.14081
BN1 1JS,50.82026,-0.13999
BN1 1JT,50.82103,-0.13897
BN1 1JU,50.81966,-0.13888
BN1 1JW,50.82083,-0.14002
BN1 1JX,50.82082,-0.14000
BN1 1JY,50.82274,-0.14056
BN1 1JZ,50.82633,-0.14081
BN1 1LA,50.82633,-0.14081
BN1 1LB,50.82633,-0.14081
BN1 1LD,50.82633,-0.14081
BN1 1LE,50.82071,-0.14019
BN1 1LF,50.82274,-0.14056
BN1 1LG,50.82633,-0.14081
BN1 1LH,50.82801,-0.14072
BN1 1LJ,50.82633,-0.14081
BN1 1LL,50.82633,-0.14081
BN1 1LN,50.82277,-0.14064
BN1 1LP,50.82071,-0.14019
BN1 1LQ,50.82633,-0.14081
BN1 1LR,50.82633,-0.14081
BN1 1LS,50.82274,-0.14056
BN1 1LT,50.82071,-0.14019
BN1 1LU,50.82277,-0.14066
BN1 1LW,50.82633,-0.14081
BN1 1LY,50.82071,-0.14019
BN1 1LZ,50.82274,-0.14056
BN1 1NA,50.82052,-0.14326
BN1 1NB,50.82014,-0.14339
BN1 1ND,50.82110,-0.14139
BN1 1NE,50.82005,-0.13960
BN1 1NF,50.81966,-0.13888
BN1 1NG,50.82025,-0.13949
BN1 1NH,50.82025,-0.13812
BN1 1NJ,50.82015,-0.13869
BN1 1NL,50.82124,-0.14164
BN1 1NN,50.82026,-0.13868
BN1 1NP,50.82010,-0.13792
BN1 1NQ,50.82633,-0.14081
BN1 1NR,50.82067,-0.14148
BN1 1NS,50.81966,-0.13952
BN1 1NT,50.81979,-0.13734
BN1 1NU,50.82633,-0.14081
BN1 1NW,50.82039,-0.13866
BN1 1NX,50.82111,-0.13832
BN1 1NY,50.82633,-0.14081
BN1 1NZ,50.82110,-0.14139
BN1 1PA,50.82633,-0.14081
BN1 1PB,50.82633,-0.14081
BN1 1PD,50.82068,-0.13877
BN1 1PE,50.82085,-0.14097
BN1 1PF,50.82274,-0.14056
BN1 1PG,50.82633,-0.14081
BN1 1PH,50.82145,-0.14061
BN1 1PJ,50.82274,-0.14056
BN1 1PL,50.82633,-0.14081
BN1 1PN,50.81959,-0.13844
BN1 1PP,50.81961,-0.13855
BN1 1PQ,50.82633,-0.14081
BN1 1PR,50.82277,-0.14066
BN1 1PS,50.82633,-0.14081
BN1 1PT,50.82274,-0.14056
BN1 1PU,50.82633,-0.14081
BN1 1PW,50.82274,-0.14056
BN1 1PX,50.82633,-0.14081
BN1 1PY,50.82277,-0.14066
BN1 1QA,50.82633,-0.14081
BN1 1QB,50.82633,-0.14081
BN1 1QD,50.82633,-0.14081
BN1 1QE,50.82633,-0.14081
BN1 1QF,50.82274,-0.14056
BN1 1QG,50.82633,-0.14081
BN1 1QH,50.82633,-0.14081
BN1 1QJ,50.82274,-0.14056
BN1 1QL,50.82633,-0.14081
BN1 1QN,50.82277,-0.14064
BN1 1QR,50.82277,-0.14066
BN1 1QS,50.82633,-0.14081
BN1 1QT,50.82633,-0.14081
BN1 1QU,50.82633,-0.14081
BN1 1QW,50.82277,-0.14064
BN1 1QX,50.82277,-0.14064
BN1 1QY,50.82277,-0.14064
BN1 1QZ,50.82277,-0.14064
BN1 1RA,50.82492,-0.14056
BN1 1RB,50.82458,-0.14120
BN1 1RD,50.82365,-0.14004
BN1 1RE,50.82331,-0.14113
BN1 1RF,50.82452,-0.14091
BN1 1RG,50.82358,-0.14231
BN1 1RH,50.82316,-0.14242
BN1 1RJ,50.82454,-0.14246
BN1 1RL,50.82501,-0.14229
BN1 1RN,50.82425,-0.14158
BN1 1RP,50.82365,-0.14051
BN1 1RQ,50.82394,-0.14210
BN1 1RR,50.82340,-0.14340
BN1 1RS,50.82427,-0.14281
BN1 1RT,50.82385,-0.14033
BN1 1RU,50.82378,-0.14171
BN1 1RW,50.82340,-0.14116
BN1 1RX,50.82345,-0.14292
BN1 1RY,50.82255,-0.14295
BN1 1RZ,50.82253,-0.14153
BN1 1SA,50.82343,-0.13992
BN1 1SB,50.82340,-0.14008
BN1 1SD,50.82343,-0.13992
BN1 1SE,50.82343,-0.14150
BN1 1SF,50.82633,-0.14081
BN1 1SG,50.82255,-0.14295
BN1 1SH,50.82345,-0.14292
BN1 1SJ,50.82633,-0.14081
BN1 1SL,50.82633,-0.14081
BN1 1SN,50.82633,-0.14081
BN1 1SP,50.82255,-0.14295
BN1 1SQ,50.82325,-0.14288
BN1 1SR,50.82633,-0.14081
