Postcode,lat,long
WC1A1AA,51.51659,-0.12927
WC1A1AB,51.51638,-0.12516
WC1A1AD,51.51734,-0.12417
WC1A1AE,51.51693,-0.12465
WC1A1AH,51.51696,-0.12793
WC1A1AJ,51.51571,-0.13075
WC1A1AL,51.51657,-0.12783
WC1A1AP,51.51736,-0.12541
WC1A1AR,51.51744,-0.12636
WC1A1AS,51.51629,-0.12949
WC1A1AT,51.51657,-0.12783
WC1A1AW,51.51698,-0.12733
WC1A1AX,51.51698,-0.12733
WC1A1AY,51.51657,-0.12783
WC1A1AZ,51.51713,-0.13424
WC1A1BA,51.51701,-0.12358
WC1A1BE,51.51701,-0.12361
WC1A1BH,51.51698,-0.12521
WC1A1BJ,51.51722,-0.12621
WC1A1BL,51.51685,-0.12642
WC1A1BN,51.51695,-0.12528
WC1A1BQ,51.51657,-0.12783
WC1A1BR,51.51657,-0.12783
WC1A1BS,51.51667,-0.12709
WC1A1BT,51.51650,-0.12351
WC1A1BU,51.51725,-0.12636
WC1A1BW,51.51654,-0.12639
WC1A1BX,51.51657,-0.12783
WC1A1DA,51.51652,-0.12763
WC1A1DB,51.51644,-0.12913
WC1A1DD,51.51629,-0.12949
WC1A1DE,51.51664,-0.12743
WC1A1DF,51.51652,-0.12763
WC1A1DG,51.51654,-0.12794
WC1A1DL,51.51657,-0.12783
WC1A1DN,51.51661,-0.12772
WC1A1DP,51.51629,-0.12949
WC1A1DQ,51.51571,-0.13075
WC1A1DR,51.51629,-0.12949
WC1A1DS,51.51644,-0.12840
WC1A1DT,51.51644,-0.12840
WC1A1DU,51.51629,-0.12949
WC1A1DW,51.51659,-0.12927
WC1A1DX,51.51569,-0.12931
WC1A1DY,51.51629,-0.12949
WC1A1DZ,51.51650,-0.12351
WC1A1EA,51.51661,-0.12772
WC1A1EB,51.51629,-0.12949
WC1A1ED,51.51571,-0.13075
WC1A1EE,51.51737,-0.12418
WC1A1EF,51.51702,-0.12754
WC1A1EG,51.51652,-0.12495
WC1A1EH,51.51737,-0.12418
WC1A1EJ,51.51652,-0.12495
WC1A1EN,51.51721,-0.12622
WC1A1EP,51.51731,-0.12573
WC1A1ES,51.51716,-0.12621
WC1A1ET,51.51657,-0.12783
WC1A1EU,51.51698,-0.12733
WC1A1FJ,51.51632,-0.12376
WC1A1GG,51.51701,-0.12361
WC1A1HB,51.51692,-0.12821
WC1A1HD,51.51672,-0.12920
WC1A1HE,51.51659,-0.12927
WC1A1HH,51.51669,-0.12933
WC1A1HJ,51.51669,-0.12936
WC1A1HL,51.51663,-0.12991
WC1A1HN,51.51663,-0.12991
WC1A1HP,51.51684,-0.12944
WC1A1HQ,51.51659,-0.12927
WC1A1HT,51.51659,-0.12927
WC1A1HU,51.51725,-0.12634
WC1A1HX,51.51659,-0.12927
WC1A1HY,51.51659,-0.12927
WC1A1HZ,51.51659,-0.12927
WC1A1JA,51.51659,-0.12927
WC1A1JB,51.51719,-0.12789
WC1A1JD,51.51771,-0.12689
WC1A1JE,51.51747,-0.12780
WC1A1JF,51.51674,-0.12532
WC1A1JG,51.51632,-0.12376
WC1A1JH,51.51671,-0.12578
WC1A1JJ,51.51678,-0.12548
WC1A1JL,51.51759,-0.12567
WC1A1JN,51.51736,-0.12541
WC1A1JP,51.51639,-0.12516
WC1A1JQ,51.51657,-0.12783
WC1A1JR,51.51639,-0.12516
WC1A1JS,51.51687,-0.12504
WC1A1JT,51.51760,-0.12565
WC1A1JU,51.51759,-0.12565
WC1A1JY,51.51744,-0.12636
WC1A1LA,51.51744,-0.12636
WC1A1LB,51.51744,-0.12636
WC1A1LD,51.51744,-0.12636
WC1A1LF,51.51744,-0.12636
WC1A1LG,51.51791,-0.12603
WC1A1LH,51.51791,-0.12603
WC1A1LJ,51.51721,-0.12622
WC1A1LN,51.51744,-0.12636
WC1A1LP,51.51801,-0.12570
WC1A1LQ,51.51811,-0.12578
WC1A1LR,51.51765,-0.12519
WC1A1LT,51.51792,-0.12553
WC1A1LU,51.51792,-0.12554
WC1A1LW,51.51701,-0.12361
WC1A1LX,51.51764,-0.12507
WC1A1LY,51.51765,-0.12519
WC1A1LZ,51.52456,-0.11204
WC1A1NA,51.51652,-0.12495
WC1A1NB,51.51650,-0.12351
WC1A1ND,51.51721,-0.12622
WC1A1NE,51.51650,-0.12351
WC1A1NF,51.51701,-0.12361
WC1A1NG,51.51652,-0.12495
WC1A1NH,51.51734,-0.12628
WC1A1NJ,51.51753,-0.12641
WC1A1NL,51.51765,-0.12654
WC1A1NN,51.51774,-0.12666
WC1A1NP,51.51783,-0.12643
WC1A1NQ,51.51701,-0.12361
WC1A1NR,51.51632,-0.12376
WC1A1NS,51.51764,-0.12622
WC1A1NT,51.51725,-0.12586
WC1A1NU,51.51713,-0.12352
WC1A1NW,51.51737,-0.12635
WC1A1NX,51.51722,-0.12621
WC1A1NY,51.51632,-0.12376
WC1A1PA,51.51713,-0.13424
WC1A1PB,51.51693,-0.12465
WC1A1PD,51.51713,-0.13424
WC1A1PE,51.51632,-0.12376
WC1A1PF,51.51713,-0.13424
WC1A1PG,51.51629,-0.12949
WC1A1PH,51.51632,-0.12376
WC1A1PJ,51.51652,-0.12495
WC1A1PL,51.51759,-0.12566
WC1A1PN,51.51654,-0.12639
WC1A1PP,51.51644,-0.12840
WC1A1PQ,51.51713,-0.13424
WC1A1PR,51.51667,-0.12708
WC1A1PS,51.51657,-0.12783
WC1A1PT,51.51657,-0.12783
WC1A1PU,51.51722,-0.12621
WC1A1PX,51.51644,-0.12840
WC1A1PY,51.51722,-0.12621
WC1A1QA,51.51725,-0.12636
WC1A1QB,51.51713,-0.13424
WC1A1QD,51.51571,-0.13075
WC1A1QE,51.51725,-0.12636
WC1A1QF,51.51629,-0.12949
WC1A1QG,51.51571,-0.13075
WC1A1QH,51.51571,-0.13075
WC1A1QN,51.51571,-0.13075
WC1A1QP,51.51571,-0.13075
WC1A1QQ,51.51629,-0.12949
WC1A1QT,51.51629,-0.12949
WC1A1QZ,51.51721,-0.12622
WC1A1RB,51.51629,-0.12949
WC1A1RD,51.51571,-0.13075
WC1A1RE,51.51629,-0.12949
WC1A1RF,51.51629,-0.12949
WC1A1RG,51.51629,-0.12949
WC1A1RH,51.51629,-0.12949
WC1A1RJ,51.51571,-0.13075
WC1A1TP,51.51571,-0.13075
WC1A1UP,51.51701,-0.12361
WC1A1WE,51.51713,-0.13424
WC1A1WP,51.51713,-0.13424
WC1A1WQ,51.52456,-0.11204
WC1A1WR,51.51632,-0.12376
WC1A1WS,51.51632,-0.12376
WC1A1WT,51.51632,-0.12376
WC1A1WU,51.51632,-0.12376
WC1A1WW,51.51701,-0.12359
WC1A1WX,51.51701,-0.12361
WC1A1WY,51.51701,-0.12361
WC1A1WZ,51.52456,-0.11204
WC1A1XA,51.51713,-0.13424
WC1A1XX,51.51652,-0.12495
WC1A1YA,51.52456,-0.11204
WC1A1YQ,51.51713,-0.13424
WC1A1YT,51.52456,-0.11204
WC1A2AA,51.51740,-0.12348
WC1A2AB,51.51740,-0.12348
WC1A2AD,51.51740,-0.12348
WC1A2AE,51.51877,-0.12446
WC1A2AG,51.51740,-0.12348
WC1A2AH,51.51765,-0.12253
WC1A2AJ,51.51784,-0.12197
WC1A2AL,51.51760,-0.12169
WC1A2AP,51.51737,-0.12204
WC1A2AQ,51.51740,-0.12348
WC1A2AR,51.51737,-0.12204
WC1A2AS,51.51737,-0.12204
WC1A2AT,51.51832,-0.12488
WC1A2AU,51.51830,-0.12344
