Postcode,lat,long
SP1 1QX,51.07820,-1.77292
SP1 1QY,51.08113,-1.77204
SP1 1QZ,51.08284,-1.77049
SP1 1RB,51.08530,-1.76803
SP1 1RD,51.08018,-1.77136
SP1 1RE,51.07956,-1.77149
SP1 1RF,51.08259,-1.77437
SP1 1RG,51.07491,-1.77302
SP1 1RH,51.07624,-1.77275
SP1 1RJ,51.07610,-1.77239
SP1 1RL,51.07556,-1.77208
SP1 1RN,51.07582,-1.77047
SP1 1RP,51.07451,-1.77203
SP1 1RQ,51.07542,-1.77284
SP1 1RR,51.07497,-1.77194
SP1 1RS,51.07392,-1.77237
SP1 1RT,51.07460,-1.76892
SP1 1RU,51.08303,-1.77159
SP1 1RW,51.07518,-1.77027
SP1 1RX,51.08259,-1.77294
SP1 1RY,51.07124,-1.80359
SP1 1RZ,51.07435,-1.77046
SP1 1SA,51.08058,-1.77353
SP1 1SB,51.07746,-1.77213
SP1 1SD,51.07719,-1.77243
SP1 1SE,51.07775,-1.77151
SP1 1SF,51.07715,-1.77114
SP1 1SG,51.07687,-1.77227
SP1 1SH,51.07730,-1.76980
SP1 1SJ,51.07715,-1.77070
SP1 1SL,51.08191,-1.77265
SP1 1SN,51.07124,-1.80359
SP1 1SQ,51.07642,-1.77062
SP1 1SR,51.07244,-1.78256
SP1 1SS,51.07229,-1.78261
SP1 1ST,51.07244,-1.78256
SP1 1SU,51.07229,-1.78261
SP1 1SX,51.07229,-1.78261
SP1 1SY,51.07124,-1.80359
SP1 1SZ,51.07124,-1.80359
SP1 1TB,51.06899,-1.79642
SP1 1TD,51.06911,-1.79642
SP1 1TE,51.06931,-1.79649
SP1 1TF,51.06902,-1.79617
SP1 1TG,51.06915,-1.79727
SP1 1TH,51.06910,-1.79603
SP1 1TJ,51.07005,-1.79870
SP1 1TL,51.06949,-1.79684
SP1 1TN,51.06914,-1.79585
SP1 1TP,51.06924,-1.79616
SP1 1TQ,51.06915,-1.79727
SP1 1TR,51.07185,-1.79869
SP1 1TS,51.06824,-1.79585
SP1 1TT,51.07050,-1.79665
SP1 1TU,51.06915,-1.79727
SP1 1TW,51.06924,-1.79670
SP1 1TX,51.06915,-1.79727
SP1 1TY,51.06998,-1.79670
SP1 1TZ,51.07004,-1.79727
SP1 1UA,51.06906,-1.79610
SP1 1UB,51.07004,-1.79727
SP1 1UD,51.07124,-1.80359
SP1 1UE,51.07124,-1.80359
SP1 1UF,51.07124,-1.80359
SP1 1UG,51.07229,-1.78261
SP1 1UH,51.07124,-1.80359
SP1 1UQ,51.07124,-1.80359
SP1 1UY,51.07124,-1.80359
SP1 1WA,51.07124,-1.80359
SP1 1WB,51.07124,-1.80359
SP1 1WY,51.07124,-1.80359
SP1 1WZ,51.07124,-1.80359
SP1 1YD,51.07124,-1.80359
SP1 1YE,51.07004,-1.79727
SP1 1YG,51.07004,-1.79727
SP1 1YH,51.07004,-1.79727
SP1 1YJ,51.07124,-1.80359
SP1 1YN,51.07004,-1.79727
SP1 1YQ,51.07124,-1.80359
SP1 1YX,51.07124,-1.80359
SP1 1ZH,51.07124,-1.80359
SP1 1ZN,51.07124,-1.80359
SP1 1ZU,51.06906,-1.79610
SP1 1ZX,51.07124,-1.80359
SP1 1ZY,51.06825,-1.79728
SP1 1ZZ,51.07004,-1.79727
SP1 2AA,51.06823,-1.79555
SP1 2AB,51.06564,-1.78844
SP1 2AD,51.06830,-1.79499
SP1 2AE,51.06818,-1.79599
SP1 2AF,51.06792,-1.79642
SP1 2AG,51.06765,-1.79621
SP1 2AH,51.06390,-1.79370
SP1 2AJ,51.06878,-1.79322
SP1 2AL,51.06878,-1.79312
SP1 2AN,51.06824,-1.79312
SP1 2AP,51.06854,-1.79222
SP1 2AQ,51.06860,-1.79566
SP1 2AR,51.06723,-1.79280
SP1 2AS,51.06809,-1.79250
SP1 2AT,51.06804,-1.79238
SP1 2AU,51.06713,-1.79216
SP1 2AW,51.06824,-1.79442
SP1 2AX,51.06644,-1.79300
SP1 2AY,51.06679,-1.79276
SP1 2AZ,51.06699,-1.79294
SP1 2BA,51.06647,-1.79226
SP1 2BB,51.06554,-1.79158
SP1 2BD,51.06673,-1.79170
SP1 2BE,51.06644,-1.79300
SP1 2BF,51.06603,-1.79027
SP1 2BG,51.06644,-1.79112
SP1 2BH,51.06692,-1.79172
SP1 2BJ,51.06684,-1.79060
SP1 2BL,51.06651,-1.78988
SP1 2BN,51.06678,-1.78973
SP1 2BP,51.06857,-1.79075
SP1 2BQ,51.06724,-1.79139
SP1 2BS,51.06825,-1.79020
SP1 2BT,51.06656,-1.79039
SP1 2BU,51.06802,-1.79123
SP1 2BW,51.06719,-1.79032
SP1 2BX,51.06619,-1.79218
SP1 2BY,51.06705,-1.78998
SP1 2BZ,51.06824,-1.79157
SP1 2DA,51.06813,-1.79411
SP1 2DB,51.06802,-1.79394
SP1 2DD,51.06751,-1.79400
SP1 2DE,51.06763,-1.79417
SP1 2DF,51.06826,-1.79371
SP1 2DG,51.06734,-1.79443
SP1 2DH,51.06728,-1.79348
SP1 2DJ,51.06772,-1.79413
SP1 2DL,51.06749,-1.79099
SP1 2DN,51.06576,-1.79302
SP1 2DP,51.06601,-1.79164
SP1 2DQ,51.06786,-1.79371
SP1 2DR,51.06576,-1.79205
SP1 2DS,51.06554,-1.79158
SP1 2DT,51.06455,-1.80009
SP1 2DU,51.07124,-1.80359
SP1 2DW,51.06554,-1.79443
SP1 2DX,51.06618,-1.78969
SP1 2DY,51.06554,-1.79015
SP1 2DZ,51.06864,-1.79137
SP1 2EA,51.06569,-1.78974
SP1 2EB,51.06583,-1.79500
SP1 2ED,51.06579,-1.79472
SP1 2EE,51.06639,-1.79550
SP1 2EF,51.06526,-1.79543
SP1 2EG,51.06371,-1.79763
SP1 2EH,51.06664,-1.79687
SP1 2EJ,51.06612,-1.79751
SP1 2EL,51.06371,-1.79763
SP1 2EN,51.06382,-1.79999
SP1 2EP,51.06309,-1.80003
SP1 2EQ,51.06375,-1.79608
SP1 2ER,51.06167,-1.79949
SP1 2ES,51.06226,-1.79776
SP1 2ET,51.06472,-1.78184
SP1 2EU,51.06824,-1.79300
SP1 2EW,51.06590,-1.78322
SP1 2EX,51.06622,-1.79964
SP1 2EY,51.06485,-1.80154
SP1 2EZ,51.06502,-1.79987
SP1 2FA,51.06573,-1.78482
SP1 2FB,51.06660,-1.79015
SP1 2FD,51.06503,-1.78961
SP1 2FE,51.06426,-1.77956
SP1 2FF,51.06150,-1.77385
SP1 2FG,51.06714,-1.79387
SP1 2FH,51.06904,-1.78760
SP1 2FJ,51.06571,-1.78913
SP1 2HA,51.06408,-1.79309
SP1 2HB,51.06507,-1.79295
SP1 2HD,51.06459,-1.79246
SP1 2HE,51.06483,-1.79185
SP1 2HF,51.06440,-1.79093
SP1 2HG,51.06464,-1.79444
SP1 2HH,51.06353,-1.79246
SP1 2HJ,51.06422,-1.79234
SP1 2HL,51.06264,-1.79295
SP1 2HN,51.06244,-1.79256
SP1 2HP,51.06367,-1.79146
SP1 2HQ,51.06464,-1.79444
