Postcode,lat,long
CO1 1AA,51.89090,0.90086
CO1 1AE,51.88951,0.91609
CO1 1AF,51.88791,0.89468
CO1 1AG,51.89886,0.89662
CO1 1AH,51.89819,0.89700
CO1 1AJ,51.89848,0.89623
CO1 1AL,51.88787,0.89654
CO1 1AN,51.89833,0.89741
CO1 1AP,51.89882,0.89893
CO1 1AQ,51.89273,0.90050
CO1 1AR,51.89261,0.90002
CO1 1AS,51.89115,0.89657
CO1 1AT,51.89729,0.90102
CO1 1AU,51.89830,0.89777
CO1 1AW,51.89825,0.89835
CO1 1AX,51.88951,0.91609
CO1 1AY,51.88791,0.89468
CO1 1AZ,51.88896,0.90188
CO1 1BA,51.89081,0.89800
CO1 1BB,51.88979,0.89605
CO1 1BD,51.88951,0.91609
CO1 1BE,51.88991,0.90261
CO1 1BG,51.89859,0.89522
CO1 1BH,51.89877,0.90491
CO1 1BJ,51.89877,0.90491
CO1 1BL,51.89877,0.90491
CO1 1BN,51.89892,0.90766
CO1 1BP,51.89892,0.90763
CO1 1BQ,51.89330,0.89923
CO1 1BS,51.89877,0.90491
CO1 1BT,51.89300,0.89860
CO1 1BU,51.89891,0.90763
CO1 1BW,51.89891,0.90763
CO1 1BX,51.89865,0.89975
CO1 1BY,51.89325,0.89835
CO1 1BZ,51.89218,0.89565
CO1 1DA,51.88933,0.89715
CO1 1DB,51.88943,0.89837
CO1 1DD,51.88932,0.89712
CO1 1DE,51.88874,0.89764
CO1 1DF,51.88905,0.90030
CO1 1DG,51.88942,0.89857
CO1 1DH,51.88958,0.90064
CO1 1DJ,51.88960,0.90027
CO1 1DL,51.89870,0.89780
CO1 1DN,51.88950,0.90282
CO1 1DP,51.88940,0.90072
CO1 1DQ,51.88940,0.89871
CO1 1DR,51.88863,0.90199
CO1 1DS,51.89020,0.89884
CO1 1DU,51.88940,0.89889
CO1 1DW,51.88985,0.89836
CO1 1DX,51.88936,0.90053
CO1 1DY,51.88964,0.89770
CO1 1DZ,51.89106,0.89667
CO1 1EA,51.89330,0.89771
CO1 1EB,51.89058,0.89664
CO1 1ED,51.89285,0.89803
CO1 1EE,51.89276,0.89688
CO1 1EF,51.89057,0.89630
CO1 1EG,51.89208,0.89656
CO1 1EH,51.89235,0.89648
CO1 1EJ,51.89186,0.89771
CO1 1EL,51.89210,0.89771
CO1 1EN,51.89253,0.89705
CO1 1EP,51.89323,0.89793
CO1 1EQ,51.89261,0.89885
CO1 1ER,51.89302,0.90023
CO1 1ES,51.89266,0.90074
CO1 1ET,51.89286,0.89799
CO1 1EU,51.89194,0.89728
CO1 1EW,51.89262,0.89943
CO1 1EX,51.89325,0.89835
CO1 1EY,51.89239,0.89968
CO1 1EZ,51.89247,0.89789
CO1 1FA,51.88992,0.90290
CO1 1FB,51.89845,0.90318
CO1 1FD,51.89858,0.90614
CO1 1FE,51.88951,0.91609
CO1 1FF,51.89208,0.90069
CO1 1FG,51.87498,0.87205
CO1 1FH,51.88951,0.91609
CO1 1FJ,51.89849,0.90096
CO1 1FL,51.88951,0.91609
CO1 1FN,51.88951,0.91609
CO1 1FP,51.88951,0.91609
CO1 1FQ,51.89081,0.89800
CO1 1FR,51.88951,0.91609
CO1 1FS,51.88951,0.91609
CO1 1FT,51.88942,0.89857
CO1 1FU,51.94683,1.05420
CO1 1FW,51.89874,0.90378
CO1 1FX,51.91215,0.98640
CO1 1FY,51.88993,0.90165
CO1 1FZ,51.88951,0.91609
CO1 1GA,51.88951,0.91609
CO1 1GD,51.89584,0.90251
CO1 1GE,51.89740,0.91128
CO1 1GF,51.89740,0.91128
CO1 1GG,51.88951,0.91609
CO1 1GH,51.89740,0.91128
CO1 1GJ,51.89030,0.90024
